level1_threshold,level2_threshold,accuracy,balanced_accuracy,f1_macro,level1_accuracy,level1_balanced_accuracy,level2_accuracy,level2_balanced_accuracy,level1_fn_rate,level1_fp_rate,level2_fn_rate,level2_fp_rate,level1_confusion_matrix,level2_confusion_matrix,overall_confusion_matrix
0.5,0.5,0.84,0.9191919191919192,0.8380809595202399,1.0,1.0,0.8024691358024691,0.8787878787878788,0.0,0.0,0.24242424242424243,0.0,"[[19.0, 0.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[19, 0, 0], [0, 15, 0], [0, 16, 50]]"
0.5,0.4,0.84,0.9191919191919192,0.8380809595202399,1.0,1.0,0.8024691358024691,0.8787878787878788,0.0,0.0,0.24242424242424243,0.0,"[[19.0, 0.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[19, 0, 0], [0, 15, 0], [0, 16, 50]]"
0.5,0.3,0.84,0.9191919191919192,0.8380809595202399,1.0,1.0,0.8024691358024691,0.8787878787878788,0.0,0.0,0.24242424242424243,0.0,"[[19.0, 0.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[19, 0, 0], [0, 15, 0], [0, 16, 50]]"
0.5,0.2,0.84,0.9191919191919192,0.8380809595202399,1.0,1.0,0.8024691358024691,0.8787878787878788,0.0,0.0,0.24242424242424243,0.0,"[[19.0, 0.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[19, 0, 0], [0, 15, 0], [0, 16, 50]]"
0.4,0.5,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.8024691358024691,0.8787878787878788,0.0,1.0,0.24242424242424243,0.0,"[[0.0, 19.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[0, 19, 0], [0, 15, 0], [0, 16, 50]]"
0.4,0.4,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.8024691358024691,0.8787878787878788,0.0,1.0,0.24242424242424243,0.0,"[[0.0, 19.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[0, 19, 0], [0, 15, 0], [0, 16, 50]]"
0.4,0.3,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.8024691358024691,0.8787878787878788,0.0,1.0,0.24242424242424243,0.0,"[[0.0, 19.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[0, 19, 0], [0, 15, 0], [0, 16, 50]]"
0.4,0.2,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.8024691358024691,0.8787878787878788,0.0,1.0,0.24242424242424243,0.0,"[[0.0, 19.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[0, 19, 0], [0, 15, 0], [0, 16, 50]]"
0.3,0.5,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.8024691358024691,0.8787878787878788,0.0,1.0,0.24242424242424243,0.0,"[[0.0, 19.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[0, 19, 0], [0, 15, 0], [0, 16, 50]]"
0.3,0.4,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.8024691358024691,0.8787878787878788,0.0,1.0,0.24242424242424243,0.0,"[[0.0, 19.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[0, 19, 0], [0, 15, 0], [0, 16, 50]]"
0.3,0.3,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.8024691358024691,0.8787878787878788,0.0,1.0,0.24242424242424243,0.0,"[[0.0, 19.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[0, 19, 0], [0, 15, 0], [0, 16, 50]]"
0.3,0.2,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.8024691358024691,0.8787878787878788,0.0,1.0,0.24242424242424243,0.0,"[[0.0, 19.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[0, 19, 0], [0, 15, 0], [0, 16, 50]]"
0.2,0.5,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.8024691358024691,0.8787878787878788,0.0,1.0,0.24242424242424243,0.0,"[[0.0, 19.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[0, 19, 0], [0, 15, 0], [0, 16, 50]]"
0.2,0.4,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.8024691358024691,0.8787878787878788,0.0,1.0,0.24242424242424243,0.0,"[[0.0, 19.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[0, 19, 0], [0, 15, 0], [0, 16, 50]]"
0.2,0.3,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.8024691358024691,0.8787878787878788,0.0,1.0,0.24242424242424243,0.0,"[[0.0, 19.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[0, 19, 0], [0, 15, 0], [0, 16, 50]]"
0.2,0.2,0.65,0.5858585858585859,0.44120247568523424,0.81,0.5,0.8024691358024691,0.8787878787878788,0.0,1.0,0.24242424242424243,0.0,"[[0.0, 19.0], [0.0, 81.0]]","[[15.0, 0.0], [16.0, 50.0]]","[[0, 19, 0], [0, 15, 0], [0, 16, 50]]"
